ticketId,Date (Ticket Created),Date (Ticket Last Updated),Date (Ticket Solved),Type,Category,Sub Category,Ticket Group,Ticket Status,corpId,Ticket Requester Domain,Z Channel,# SLA tickets,# SLAs Achieved,# SLAs Breached (Total),% Achieved,% Breached
540612,7/9/18,7/17/18,7/10/18,Query,App Related,Set/Change Static PIN via App,L1 - Support,Closed,9410,licindia.com,App,1,0,1,0,1
540613,7/9/18,7/17/18,7/10/18,Complaint,Corporate Benefit Related,Bill approved but remain unpaid,L1 - Support,Closed,4519,yahoo.com,Email,1,1,1,0.5,0.5
540615,7/9/18,7/16/18,7/10/18,Complaint,Payment Related,Refund not received,L1 - Support,Closed,4277,reedexpo.co.uk,App,1,0,1,0,1
540616,7/9/18,7/17/18,7/10/18,Query,Corporate Benefit Related,Corporate policies & limits,L1 - Support,Closed,3859,amazon.com,App,1,0,1,0,1
540617,7/9/18,7/16/18,7/9/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,5581,alpha-grep.com,Phone,1,1,0,1,0
540619,7/9/18,7/21/18,7/14/18,Complaint,Payment Related,Online txn - Debited not credited to merchant,L2 - Escalations,Closed,3859,amazon.com,Chat,1,1,0,1,0
540620,7/9/18,7/17/18,7/10/18,Query,App Related,Set/Change Static PIN via App,L1 - Support,Closed,6142,zeta.in,App,1,0,1,0,1
540621,7/9/18,7/10/18,7/10/18,Complaint,Account Related,Not getting Email/SMS from Zeta,L1 - Support,Closed,9410,sodexo.com,Email,1,0,1,0,1
540622,7/9/18,7/17/18,7/10/18,Complaint,Account Related,Not getting Email/SMS from Zeta,L1 - Support,Closed,5852,india.sodexo.com,Email,1,0,1,0,1
540623,7/9/18,7/16/18,7/9/18,Query,App Related,How to use App,L1 - Support,Closed,5254,accenture.com,Chat,1,1,0,1,0
540625,7/9/18,7/13/18,7/13/18,Complaint,Payment Related,Remote transaction dispute,L1 - Support,Closed,-,gmail.com,App,1,0,1,0,1
540626,7/9/18,7/17/18,7/10/18,Other,Unknown Category,Unknown,L1 - Support,Closed,9410,sodexo.com,Email,1,0,1,0,1
540627,7/9/18,7/17/18,7/10/18,Complaint,Payment Related,Super card offline dispute,L1 - Support,Closed,5213,sodexo.com,Email,1,0,1,0,1
540628,7/9/18,7/15/18,7/15/18,Request,Product Related,Corporate user super card request,L1 - Support,Closed,4753,prodigious.com,Email,1,1,1,0.5,0.5
540631,7/9/18,7/17/18,7/10/18,Request,Merchant Related,Merchant suggestion,L2 - Escalations,Closed,-,zeta.in,App,1,1,0,1,0
540632,7/9/18,7/17/18,7/10/18,Other,Unknown Category,Unknown,L1 - Support,Closed,-,gmail.com,Email,1,0,1,0,1
540633,7/9/18,7/13/18,7/13/18,Query,Product Related,Super card,L1 - Support,Closed,1193,zeta.in,App,1,0,1,0,1
540634,7/9/18,7/16/18,7/9/18,Other,Unknown Category,Unknown,Social Media,Closed,-,,Twitter,1,1,0,1,0
540636,7/9/18,7/17/18,7/10/18,Request,Merchant Related,Merchant suggestion,L2 - Escalations,Closed,-,zeta.in,App,1,1,0,1,0
540637,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,-,gmail.com,Email,1,0,1,0,1
540638,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,-,gmail.com,Email,1,0,1,0,1
540639,7/9/18,7/13/18,7/13/18,Complaint,Payment Related,Remote transaction dispute,L1 - Support,Closed,5458,zeta.in,App,1,0,1,0,1
540640,7/9/18,7/13/18,7/13/18,Complaint,Payment Related,Online txn - Debited not credited to merchant,L1 - Support,Closed,3859,amazon.com,App,1,0,1,0,1
540641,7/9/18,7/16/18,7/9/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,9410,noemail.com,Chat,1,1,0,1,0
540642,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,-,gmail.com,App,1,0,1,0,1
540643,7/9/18,7/16/18,7/12/18,Query,Product Related,Meal card,L1 - Support,Closed,4519,cgi.com,Phone,1,1,0,1,0
540644,7/9/18,7/13/18,7/13/18,Complaint,Payment Related,Online txn - Debited not credited to merchant,L1 - Support,Closed,3859,amazon.com,App,1,0,1,0,1
540645,7/9/18,7/16/18,7/9/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,-,cma-cgm.com,web form,1,1,0,1,0
540647,7/9/18,7/17/18,7/10/18,Query,App Related,Set/Change Static PIN via App,L1 - Support,Closed,9625,zeta.in,App,1,0,1,0,1
540648,7/9/18,7/24/18,7/17/18,Query,Product Related,Super card,L1 - Support,Closed,-,gmail.com,App,1,1,2,0.333333333333333,0.666666666666667
540649,7/9/18,7/18/18,7/13/18,Query,Account Related,How to update account details,L1 - Support,Closed,-,intl.att.com,Email,1,1,4,0.2,0.8
540650,7/9/18,7/19/18,7/12/18,Complaint,Corporate Benefit Related,Meal voucher not received - Routed to HR,L1 - Support,Closed,5254,accenture.com,Phone,1,0,1,0,1
540651,7/9/18,7/15/18,7/12/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,14384,virtusa.com,Email,1,1,3,0.25,0.75
540652,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,-,gmail.com,Email,1,0,1,0,1
540653,7/9/18,7/13/18,7/13/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,-,manipalgroup.info,Email,1,0,1,0,1
540655,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,-,gmail.com,Email,1,0,1,0,1
540658,7/9/18,7/13/18,7/13/18,Complaint,Payment Related,Super card online dispute,L1 - Support,Closed,9455,zeta.in,App,1,0,1,0,1
540659,7/9/18,7/10/18,7/10/18,Other,Sodexo Related,Routed to Sodexo,L1 - Support,Closed,9466,zeta.in,App,1,0,1,0,1
540660,7/9/18,7/23/18,7/16/18,Query,App Related,Passbook,L1 - Support,Closed,3859,gmail.com,Email,1,2,4,0.333333333333333,0.666666666666667
540661,7/9/18,7/16/18,7/13/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,557,excelityglobal.com,Phone,1,1,0,1,0
540662,7/9/18,7/20/18,7/13/18,Complaint,Payment Related,Offline txn - Debited not credited to merchant,L2 - Escalations,Closed,5458,wipro.com,App,1,1,2,0.333333333333333,0.666666666666667
540663,7/9/18,7/10/18,7/10/18,Complaint,Corporate Benefit Related,Meal voucher not received,L1 - Support,Closed,4717,syf.com,Email,1,0,2,0,1
540664,7/9/18,7/15/18,7/11/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,5458,wipro.com,Email,1,0,3,0,1
540665,7/9/18,7/19/18,7/12/18,Query,Product Related,Super card status Routed to HR,L1 - Support,Closed,-,gmail.com,Email,1,2,1,0.666666666666667,0.333333333333333
540667,7/9/18,7/17/18,7/10/18,Complaint,Payment Related,Super card offline dispute,L1 - Support,Closed,5213,sodexo.com,Email,1,0,1,0,1
